Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197343492, 298217, 5808, 864, 5248
1590197343521, 298247, 5888, 944, 5248
1590197343552, 298277, 5824, 736, 5216
1590197343581, 298307, 5776, 816, 5360
1590197343611, 298337, 5824, 464, 5472
1590197343642, 298367, 5904, 416, 5456
1590197343671, 298397, 5872, 336, 5712
1590197343701, 298427, 5824, 480, 5840
1590197343731, 298457, 5712, 736, 5760
1590197343761, 298487, 5648, 624, 5536
1590197343792, 298517, 5872, 80, 5328
1590197343821, 298547, 6320, -720, 5456
1590197343852, 298577, 7536, -1600, 5776
1590197343882, 298607, 9280, -1984, 7632
1590197343912, 298637, 12480, -1504, 9792
1590197343941, 298667, 15120, 2288, 12272
1590197343971, 298697, 12624, 9680, 15152
1590197344002, 298727, 2464, 19376, 18816
1590197344032, 298757, -2352, 29280, 10736
1590197344061, 298787, -16912, 28816, 64
1590197344091, 298817, -21952, 12096, 96
1590197344121, 298847, -27456, -9376, 3520
1590197344152, 298877, -24448, -21504, -384
1590197344181, 298907, -15408, -31632, -4048
1590197344211, 298937, -5488, -32624, -6864
1590197344242, 298967, -1136, -29808, -6112
1590197344272, 298997, -1472, -20576, 1056
1590197344301, 299027, -3712, -10048, 7712
1590197344331, 299057, -3152, -2336, 13808
1590197344361, 299087, 272, 4608, 15280
1590197344391, 299117, 2656, 16352, 18304
1590197344421, 299147, 6736, 27648, 18384
1590197344451, 299177, 12384, 23664, 15216
1590197344481, 299207, 13632, 9568, 16240
1590197344511, 299237, 10944, -6352, 16864
1590197344542, 299267, 4928, -11184, 13152
1590197344572, 299297, -16, -15824, 8128
1590197344602, 299327, -2768, -15952, 6336
1590197344631, 299357, -4496, -11280, 7424
1590197344661, 299387, -3472, -6752, 6400
