Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197381320, 336047, 6128, -3040, 4304
1590197381350, 336077, 6128, -3024, 4192
1590197381380, 336107, 6208, -2976, 4144
1590197381411, 336137, 6160, -3088, 4144
1590197381441, 336167, 6128, -2976, 4096
1590197381471, 336197, 6144, -3056, 4144
1590197381501, 336227, 6240, -3088, 4240
1590197381530, 336257, 6160, -2976, 4304
1590197381561, 336287, 6240, -2992, 4256
1590197381591, 336317, 6208, -3040, 4272
1590197381621, 336347, 6192, -3008, 4240
1590197381651, 336377, 6336, -3104, 4288
1590197381680, 336407, 6384, -3056, 4336
1590197381711, 336437, 6288, -3168, 4304
1590197381741, 336467, 5824, -3392, 3824
1590197381771, 336497, 3616, -4304, 2688
1590197381801, 336527, 240, -4064, -944
1590197381831, 336557, -5728, -2608, -4560
1590197381861, 336587, -8864, 1056, -7184
1590197381891, 336617, -9728, 1344, -6432
1590197381921, 336647, -9584, -2336, 5424
1590197381951, 336677, -5232, -7360, 27616
1590197381981, 336707, 4256, -6768, 30976
1590197382012, 336737, 14240, -4080, 32464
1590197382041, 336767, 13936, -2704, 20304
1590197382071, 336797, 9904, -10752, 14432
1590197382101, 336827, 5168, -12160, 12912
1590197382131, 336857, 1664, -9696, 13280
1590197382162, 336887, -2464, -5968, 15136
1590197382191, 336917, -5872, -688, 12608
1590197382221, 336947, -7296, 4752, 6464
1590197382251, 336977, -7024, 8640, 1472
1590197382281, 337007, -5392, 9120, -1632
1590197382311, 337037, -2160, 5408, -4576
1590197382341, 337067, 576, 1424, -3232
1590197382370, 337097, 3104, 208, -720
1590197382400, 337127, 4672, -400, 2016
1590197382431, 337157, 6784, -1776, 4112
1590197382460, 337187, 8016, -1984, 5328
1590197382491, 337217, 7440, -848, 6000
1590197382520, 337247, 6848, -304, 5504
