Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197159173, 113897, -368, 416, 8080
1590197159203, 113927, -352, 416, 8080
1590197159233, 113957, -304, 336, 8064
1590197159263, 113987, -384, 496, 8048
1590197159293, 114017, -256, 400, 8064
1590197159324, 114047, -304, 416, 7968
1590197159353, 114077, -288, 496, 8032
1590197159384, 114107, -384, 608, 8080
1590197159412, 114137, -464, 544, 8032
1590197159444, 114167, -736, 144, 7568
1590197159473, 114197, -1456, -272, 6336
1590197159504, 114227, -3056, -1552, 4768
1590197159534, 114257, -4576, -2144, 2032
1590197159564, 114287, -5376, -2112, -2064
1590197159594, 114317, -5776, -1632, -3632
1590197159624, 114347, -7104, -1584, 3200
1590197159653, 114377, -9232, 1744, 11984
1590197159684, 114407, -8720, 1744, 13168
1590197159714, 114437, -5424, 1296, 11632
1590197159743, 114467, -2720, 2720, 10160
1590197159774, 114497, -2208, 5264, 11120
1590197159804, 114527, -944, 1680, 11952
1590197159833, 114557, 976, -672, 14272
1590197159864, 114587, -768, 416, 16128
1590197159893, 114617, -2208, -576, 21440
1590197159923, 114647, -11904, 2400, 29232
1590197159954, 114677, -30272, 6304, 32608
1590197159984, 114707, -32624, -2992, 12320
1590197160014, 114737, -32624, -8752, -24320
1590197160044, 114767, -19792, -17968, -32624
1590197160074, 114797, -8720, -10512, -17728
1590197160104, 114827, -7648, -3136, -3296
1590197160133, 114857, -8288, -480, 6720
1590197160163, 114887, -7760, -912, 9504
1590197160193, 114917, -4192, -736, 10416
1590197160224, 114947, -3280, -384, 10432
1590197160253, 114977, -3728, -368, 9712
1590197160283, 115007, -4224, 48, 8576
1590197160313, 115037, -4096, -16, 8112
1590197160344, 115067, -3936, -128, 7520
1590197160374, 115097, -3808, -496, 7024
1590197160404, 115127, -4064, -320, 7072
1590197160434, 115157, -3920, -720, 7136
1590197160464, 115187, -3824, -800, 7264
1590197160493, 115217, -3664, -784, 7024
