Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197360322, 315047, 2704, -624, 7440
1590197360352, 315077, 2688, -704, 7584
1590197360382, 315107, 2784, -912, 7472
1590197360411, 315137, 2912, -1072, 7600
1590197360442, 315167, 2976, -1312, 7680
1590197360472, 315197, 2992, -1344, 7648
1590197360502, 315227, 3008, -1200, 7520
1590197360532, 315257, 2944, -1040, 7504
1590197360561, 315287, 2800, -912, 7584
1590197360590, 315317, 2896, -960, 7424
1590197360621, 315347, 2928, -928, 7376
1590197360652, 315377, 2896, -896, 7488
1590197360682, 315407, 2960, -912, 7520
1590197360710, 315437, 3024, -880, 7552
1590197360741, 315467, 2992, -896, 7520
1590197360772, 315497, 2928, -1104, 7184
1590197360801, 315527, 2976, -1056, 6864
1590197360830, 315557, 2752, -864, 6000
1590197360862, 315587, 2352, -400, 4544
1590197360892, 315617, 1552, 400, 2640
1590197360922, 315647, 1088, 1056, 576
1590197360950, 315677, 272, 1472, 4112
1590197360980, 315707, 640, -2016, 12368
1590197361011, 315737, -192, -13536, 28336
1590197361042, 315767, 2848, -28576, 32640
1590197361071, 315797, -336, -21680, 32640
1590197361102, 315827, -14800, -6368, 28512
1590197361131, 315857, -25456, 4496, 6304
1590197361162, 315887, -30048, 20624, -30160
1590197361192, 315917, -24320, 32176, -32624
1590197361222, 315947, -21216, 16720, -27792
1590197361251, 315977, -19072, -5744, 1504
1590197361281, 316007, -12880, -14848, 32432
1590197361312, 316037, 4096, -31872, 32640
1590197361342, 316067, 14032, -32624, 32640
1590197361372, 316097, 5600, -25552, 22512
1590197361402, 316127, -12192, -2256, 5280
1590197361432, 316157, -21728, 16432, -17280
1590197361461, 316187, -22448, 32256, -32416
1590197361492, 316217, -19008, 20992, -27472
1590197361521, 316247, -18720, -4128, -3072
1590197361552, 316277, -13840, -15120, 30816
1590197361581, 316307, 2992, -32304, 32640
1590197361611, 316337, 13968, -32624, 32640
1590197361641, 316367, 7264, -25088, 24784
1590197361672, 316397, -9056, -4400, 11472
1590197361702, 316427, -20352, 11856, -5200
1590197361732, 316457, -22560, 24816, -26896
1590197361761, 316487, -18080, 21872, -26768
1590197361791, 316517, -15136, 1552, -13280
1590197361821, 316547, -14160, -2576, 15072
1590197361852, 316577, -7504, -14704, 32608
1590197361882, 316607, 6880, -30640, 32640
1590197361912, 316637, 13152, -32112, 32640
1590197361941, 316667, 4640, -19600, 19424
1590197361971, 316697, -8016, -656, 7728
1590197362001, 316727, -14576, 5712, -3648
1590197362031, 316757, -17296, 15920, -18016
1590197362061, 316787, -15168, 18160, -22336
1590197362091, 316817, -11312, 5456, -14112
1590197362122, 316847, -9680, -3952, 5536
1590197362150, 316877, -6656, -7552, 22640
1590197362180, 316907, 64, -9776, 26176
