Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197199314, 154037, 4688, 3696, -4800
1590197199343, 154067, 4800, 3920, -4880
1590197199373, 154097, 4672, 3936, -4832
1590197199403, 154127, 4688, 3760, -4752
1590197199433, 154157, 4688, 4064, -4944
1590197199463, 154187, 4768, 4064, -5136
1590197199493, 154217, 4784, 4032, -5248
1590197199524, 154247, 4800, 3936, -5072
1590197199552, 154277, 4752, 3936, -5168
1590197199583, 154307, 5008, 3840, -5312
1590197199614, 154337, 5152, 3696, -5424
1590197199643, 154367, 5440, 3488, -5680
1590197199673, 154397, 5520, 4048, -5840
1590197199703, 154427, 5456, 4800, -6352
1590197199733, 154457, 5280, 4992, -7056
1590197199763, 154487, 4064, 5632, -6624
1590197199793, 154517, 848, 6864, -3328
1590197199824, 154547, -3584, 8784, 384
1590197199853, 154577, -10016, 12800, 5376
1590197199884, 154607, -15712, 20128, 7344
1590197199914, 154637, -17520, 23952, 9520
1590197199943, 154667, -28480, 23088, 16272
1590197199974, 154697, -32624, 11632, 20144
1590197200004, 154727, -32624, -19760, 20816
1590197200034, 154757, -32624, -32624, 8528
1590197200063, 154787, -16496, -32624, 10784
1590197200093, 154817, -5568, -31536, 14688
1590197200124, 154847, -432, -19424, 8320
1590197200152, 154877, 704, -12464, 3584
1590197200183, 154907, 3840, -13840, 112
1590197200213, 154937, 2048, -9952, 2480
1590197200243, 154967, 960, -8832, 4848
1590197200273, 154997, 368, -8432, 6800
1590197200304, 155027, 448, -8048, 7520
1590197200333, 155057, 416, -7744, 4976
1590197200363, 155087, 816, -7168, 4992
1590197200393, 155117, 512, -6032, 5392
