Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197260693, 215417, 6384, -3536, 3376
1590197260722, 215447, 6352, -3520, 3376
1590197260753, 215477, 6400, -3664, 3584
1590197260782, 215507, 6400, -3664, 3424
1590197260812, 215537, 6368, -3504, 3520
1590197260842, 215567, 6336, -3472, 3440
1590197260872, 215597, 6272, -3536, 3376
1590197260903, 215627, 6240, -3424, 3408
1590197260932, 215657, 6208, -3552, 3280
1590197260962, 215687, 6096, -3280, 3008
1590197260992, 215717, 6000, -3088, 2736
1590197261023, 215747, 6000, -1728, 2352
1590197261054, 215777, 6512, 2208, 2464
1590197261082, 215807, 8000, 4576, 6032
1590197261112, 215837, 10480, 3344, 9664
1590197261143, 215867, 12752, -1968, 11344
1590197261173, 215897, 13904, -11792, 9840
1590197261204, 215927, 13216, -20384, 3360
1590197261232, 215957, 7680, -20448, -224
1590197261263, 215987, 848, -21440, -3648
1590197261292, 216017, -1184, -20656, -3216
1590197261323, 216047, -3968, -15296, -2304
1590197261352, 216077, -7984, -7600, -448
1590197261383, 216107, -9840, -2096, -1152
1590197261412, 216137, -11008, -352, -1760
1590197261442, 216167, -10000, 3872, 544
1590197261473, 216197, -10144, 6224, -1328
1590197261502, 216227, -8144, 4704, 928
1590197261532, 216257, -5232, 2976, 1648
1590197261563, 216287, -3216, 2832, 2688
1590197261592, 216317, -1664, 3872, 8272
1590197261622, 216347, 832, 3280, 13840
1590197261652, 216377, 5408, 352, 21376
1590197261683, 216407, 8448, -3936, 25280
1590197261713, 216437, 10528, -9376, 24768
1590197261743, 216467, 12896, -16208, 20928
1590197261773, 216497, 11440, -20112, 16784
1590197261803, 216527, 6928, -24336, 10880
1590197261833, 216557, 5696, -22960, 3360
1590197261863, 216587, 4448, -14720, 640
1590197261892, 216617, 1968, -10736, -816
1590197261922, 216647, 992, -8288, -1632
1590197261952, 216677, -112, -4432, -512
1590197261983, 216707, -1616, -1600, 448
