Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197332602, 287327, 6480, 2848, 4128
1590197332631, 287357, 6432, 2928, 4080
1590197332661, 287387, 6464, 2944, 4096
1590197332691, 287417, 6400, 2896, 4080
1590197332721, 287447, 6496, 2848, 3984
1590197332752, 287477, 6464, 2800, 3984
1590197332782, 287507, 6432, 2832, 3904
1590197332812, 287537, 6464, 2864, 3952
1590197332842, 287567, 6432, 2800, 3952
1590197332872, 287597, 6560, 2768, 3808
1590197332901, 287627, 7040, 2928, 3536
1590197332931, 287657, 8320, 3104, 3568
1590197332961, 287687, 10496, 3968, 4048
1590197332992, 287717, 15424, 4352, 5776
1590197333021, 287747, 16368, 10688, 8784
1590197333051, 287777, 6592, 20288, 9264
1590197333082, 287807, -5360, 29024, 1904
1590197333112, 287837, -8208, 25920, 2496
1590197333142, 287867, -21936, 5280, 6736
1590197333171, 287897, -24896, -10288, 6112
1590197333201, 287927, -21968, -26752, 1296
1590197333232, 287957, -9312, -32624, -5040
1590197333261, 287987, -3200, -31264, -6448
1590197333291, 288017, -832, -27216, -4256
1590197333322, 288047, -1712, -18400, 3152
1590197333352, 288077, -3216, -8624, 12656
1590197333381, 288107, -1408, -416, 15648
1590197333411, 288137, 688, 10080, 16992
1590197333441, 288167, 1952, 23056, 16368
1590197333471, 288197, 5552, 20528, 13920
1590197333501, 288227, 10240, 11376, 12816
1590197333532, 288257, 11680, 3504, 14480
1590197333562, 288287, 10992, -304, 15136
1590197333592, 288317, 8576, -4640, 14864
1590197333622, 288347, 4496, -9776, 12096
1590197333652, 288377, 1472, -12848, 8112
1590197333682, 288407, -2624, -11024, 7792
1590197333712, 288437, -3824, -8592, 7584
1590197333742, 288467, -3440, -6192, 8016
1590197333772, 288497, -1456, -4192, 6432
