Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197266062, 220787, 6352, -2000, 4272
1590197266092, 220817, 6464, -2160, 4224
1590197266122, 220847, 6448, -2128, 4160
1590197266153, 220877, 6432, -2112, 4192
1590197266182, 220907, 6512, -2096, 4400
1590197266213, 220937, 6464, -2160, 4384
1590197266242, 220967, 6480, -2128, 4432
1590197266273, 220997, 6480, -2224, 4240
1590197266303, 221027, 6416, -2048, 3984
1590197266333, 221057, 6560, -1440, 3680
1590197266362, 221087, 7888, 1920, 2832
1590197266392, 221117, 11024, 7712, 4448
1590197266422, 221147, 12208, 5344, 9104
1590197266453, 221177, 12960, -3152, 8352
1590197266482, 221207, 13744, -15616, 6640
1590197266513, 221237, 8752, -21824, 3120
1590197266543, 221267, 400, -22064, -1808
1590197266572, 221297, -2464, -21840, -4864
1590197266603, 221327, -6128, -14384, -3680
1590197266633, 221357, -10752, -5680, -1712
1590197266663, 221387, -12496, -656, 320
1590197266692, 221417, -13296, 5280, 608
1590197266722, 221447, -12544, 6640, 1776
1590197266752, 221477, -9952, 4624, 2288
1590197266782, 221507, -6880, 4320, 2464
1590197266812, 221537, -4512, 5136, 7008
1590197266843, 221567, -416, 8112, 21696
1590197266872, 221597, 6208, -784, 29888
1590197266902, 221627, 11680, -10160, 31376
1590197266933, 221657, 15280, -13568, 28624
1590197266963, 221687, 11104, -14960, 20064
1590197266992, 221717, 6464, -26192, 8032
1590197267023, 221747, 6416, -25616, -2544
1590197267053, 221777, 3216, -12944, -2448
1590197267083, 221807, -720, -5888, -2576
1590197267112, 221837, 176, -5808, -2816
1590197267142, 221867, 96, -4736, -1360
1590197267172, 221897, 896, -4128, 128
1590197267202, 221927, 1856, -3696, 1776
1590197267232, 221957, 3280, -3344, 3664
1590197267262, 221987, 5344, -3120, 4032
