Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197371871, 326597, 2016, -544, 7600
1590197371901, 326627, 1936, -560, 7984
1590197371931, 326657, 2032, -1232, 8304
1590197371961, 326687, 2112, -1536, 8400
1590197371991, 326717, 1888, -1696, 8320
1590197372021, 326747, 1856, -2064, 8416
1590197372050, 326777, 1600, -1808, 8128
1590197372081, 326807, 1376, -1376, 7296
1590197372110, 326837, 1584, -992, 5200
1590197372140, 326867, 2288, -640, 5744
1590197372172, 326897, 3760, -5488, 14576
1590197372201, 326927, 6304, -16480, 29456
1590197372232, 326957, 2160, -17520, 32640
1590197372262, 326987, -7296, -8896, 27856
1590197372292, 327017, -17680, -224, 4320
1590197372322, 327047, -23680, 13104, -27536
1590197372351, 327077, -20576, 24224, -32624
1590197372381, 327107, -17536, 14512, -30960
1590197372411, 327137, -19696, -3344, 448
1590197372441, 327167, -15792, -8288, 32448
1590197372472, 327197, -912, -24064, 32640
1590197372501, 327227, 8768, -32496, 32640
1590197372530, 327257, 2304, -24736, 26800
1590197372561, 327287, -12992, -5248, 7840
1590197372591, 327317, -27568, 14880, -15648
1590197372622, 327347, -25280, 24944, -32592
1590197372651, 327377, -18336, 14768, -30800
1590197372681, 327407, -13888, -7280, -8992
1590197372711, 327437, -11808, -10256, 31392
1590197372741, 327467, 4816, -19264, 32640
1590197372771, 327497, 11776, -23808, 32640
1590197372800, 327527, 5104, -16768, 16848
1590197372831, 327557, -5584, -3536, -688
1590197372862, 327587, -14544, 11136, -13520
1590197372892, 327617, -16592, 16944, -24944
1590197372922, 327647, -14288, 12352, -23232
1590197372952, 327677, -14528, 464, -4064
1590197372980, 327707, -11456, -5776, 28528
1590197373011, 327737, 256, -20112, 32640
1590197373041, 327767, 9760, -29792, 32640
1590197373072, 327797, 4208, -21376, 25392
1590197373101, 327827, -6800, -6304, 2400
1590197373130, 327857, -15808, 8432, -9632
1590197373162, 327887, -17392, 16944, -19040
1590197373191, 327917, -12864, 13280, -19440
