Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197178283, 133007, 4208, 5824, -3744
1590197178313, 133037, 4144, 5888, -3744
1590197178344, 133067, 4160, 5888, -3744
1590197178373, 133097, 4160, 5744, -3776
1590197178404, 133127, 4192, 5792, -3728
1590197178433, 133157, 4240, 5696, -3792
1590197178463, 133187, 4304, 5776, -3680
1590197178493, 133217, 4208, 5648, -3632
1590197178523, 133247, 4304, 5808, -3648
1590197178553, 133277, 4240, 5648, -3648
1590197178584, 133307, 4208, 5760, -3616
1590197178614, 133337, 4176, 5872, -3664
1590197178643, 133367, 4128, 6032, -3728
1590197178673, 133397, 3872, 6656, -3296
1590197178703, 133427, 3408, 7280, -2816
1590197178734, 133457, 3200, 7920, -3792
1590197178763, 133487, 2656, 8976, -3424
1590197178793, 133517, -544, 11392, 448
1590197178824, 133547, -6880, 18272, 7392
1590197178854, 133577, -12304, 23648, 11168
1590197178883, 133607, -15824, 24512, 14096
1590197178913, 133637, -23184, 18176, 21584
1590197178943, 133667, -30992, -7680, 23280
1590197178974, 133697, -30192, -32400, 19792
1590197179004, 133727, -12080, -32624, 19680
1590197179033, 133757, -1456, -32624, 14400
1590197179064, 133787, 5936, -21232, 5328
1590197179094, 133817, 6176, -16304, 1392
1590197179123, 133847, 5536, -14096, 1968
1590197179153, 133877, 4448, -11392, 6272
1590197179183, 133907, 2784, -9264, 6320
1590197179213, 133937, 2304, -7296, 5424
1590197179243, 133967, 2624, -6912, 4416
1590197179274, 133997, 2784, -6112, 4288
1590197179304, 134027, 2480, -5360, 4304
1590197179333, 134057, 2448, -5072, 4208
1590197179363, 134087, 2672, -5040, 4112
