Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197366230, 320957, 2880, 224, 7632
1590197366261, 320987, 2912, 128, 7568
1590197366291, 321017, 2976, 144, 7392
1590197366322, 321047, 2992, 48, 7520
1590197366352, 321077, 2960, 144, 7584
1590197366381, 321107, 2896, 176, 7600
1590197366412, 321137, 2928, 240, 7520
1590197366441, 321167, 2928, 160, 7648
1590197366471, 321197, 2960, 160, 7632
1590197366501, 321227, 2912, 112, 7600
1590197366531, 321257, 2880, 112, 7392
1590197366561, 321287, 2720, 16, 7088
1590197366591, 321317, 2544, -128, 6416
1590197366621, 321347, 2000, 288, 4784
1590197366650, 321377, 1920, 704, 1504
1590197366680, 321407, 2256, 320, 3584
1590197366711, 321437, 3824, -1792, 15680
1590197366741, 321467, 3472, -12848, 32480
1590197366771, 321497, 1984, -12592, 32640
1590197366802, 321527, -8480, -3680, 26960
1590197366832, 321557, -15696, 1360, 1984
1590197366862, 321587, -21056, 11888, -30160
1590197366892, 321617, -19600, 21792, -32624
1590197366921, 321647, -20016, 11616, -29392
1590197366951, 321677, -20000, -4784, 6880
1590197366982, 321707, -13152, -8240, 32544
1590197367011, 321737, 5120, -20608, 32640
1590197367042, 321767, 13904, -27008, 32640
1590197367073, 321797, 5616, -18192, 21520
1590197367102, 321827, -9728, -2288, 3728
1590197367132, 321857, -22480, 15440, -19344
1590197367161, 321887, -20752, 19472, -32576
1590197367192, 321917, -14512, 8704, -17232
1590197367222, 321947, -11232, -7872, -592
1590197367252, 321977, -6672, -9408, 32256
1590197367282, 322007, 11104, -17072, 32640
1590197367311, 322037, 14416, -20480, 32640
1590197367341, 322067, 5536, -11920, 16480
1590197367370, 322097, -7216, -4496, 3216
1590197367401, 322127, -15472, 6496, -13024
1590197367432, 322157, -17568, 14480, -26352
1590197367462, 322187, -14288, 11760, -23008
1590197367491, 322217, -12304, -2192, -4320
1590197367521, 322247, -9472, -3200, 23840
1590197367551, 322277, 3376, -10976, 32640
1590197367582, 322307, 14768, -23728, 32640
1590197367611, 322337, 12656, -22080, 25024
1590197367641, 322367, 432, -8896, 12064
1590197367672, 322397, -11408, 736, 96
1590197367701, 322427, -17520, 12048, -16992
1590197367731, 322457, -16080, 15824, -25120
1590197367761, 322487, -11264, 2720, -15520
1590197367790, 322517, -8320, -6448, 6000
