Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197337822, 292547, 6176, 3216, 4240
1590197337851, 292577, 6208, 3232, 4416
1590197337882, 292607, 6112, 3408, 4400
1590197337911, 292637, 6080, 3488, 4416
1590197337941, 292667, 6160, 3424, 4352
1590197337972, 292697, 6112, 3472, 4288
1590197338001, 292727, 6128, 3248, 4256
1590197338031, 292757, 6176, 3216, 4240
1590197338061, 292787, 6096, 3248, 4064
1590197338092, 292817, 6128, 2992, 3872
1590197338121, 292847, 6384, 2784, 3360
1590197338151, 292877, 7328, 2704, 2176
1590197338181, 292907, 9888, 1808, 3504
1590197338211, 292937, 14192, 3760, 6176
1590197338242, 292967, 14912, 9024, 10400
1590197338272, 292997, 8976, 15936, 12576
1590197338302, 293027, -1872, 24944, 11056
1590197338331, 293057, -11728, 29072, 7008
1590197338362, 293087, -19440, 13856, 5696
1590197338391, 293117, -24224, -6720, 5872
1590197338421, 293147, -23600, -20656, 592
1590197338452, 293177, -16672, -31232, -4720
1590197338482, 293207, -5808, -31136, -8640
1590197338511, 293237, -2224, -29536, -8912
1590197338542, 293267, -1920, -23520, -3120
1590197338571, 293297, -3728, -13936, 5808
1590197338602, 293327, -4304, -5856, 14768
1590197338632, 293357, -1232, 3056, 18992
1590197338662, 293387, 1824, 18432, 21808
1590197338691, 293417, 5408, 28784, 21824
1590197338722, 293447, 11056, 20256, 17984
1590197338751, 293477, 12912, 5392, 15840
1590197338781, 293507, 10608, -6352, 15120
1590197338811, 293537, 6112, -11728, 12208
1590197338841, 293567, 1696, -15072, 7472
1590197338872, 293597, 80, -14064, 7104
1590197338902, 293627, -2432, -9264, 6864
1590197338932, 293657, -3952, -6064, 7152
