Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197115643, 70367, 4208, -512, 6880
1590197115672, 70397, 4240, -560, 6832
1590197115702, 70427, 4272, -544, 6960
1590197115733, 70457, 4288, -496, 7024
1590197115763, 70487, 4272, -560, 6960
1590197115793, 70517, 4256, -688, 6912
1590197115822, 70547, 4336, -608, 6784
1590197115853, 70577, 4288, -480, 6848
1590197115883, 70607, 4224, -592, 6944
1590197115912, 70637, 4208, -560, 6752
1590197115943, 70667, 4272, -784, 6624
1590197115972, 70697, 4224, -864, 6784
1590197116002, 70727, 4160, -1232, 6672
1590197116032, 70757, 4096, -1936, 6704
1590197116063, 70787, 3968, -2880, 6400
1590197116093, 70817, 3952, -3824, 6864
1590197116122, 70847, 3616, -4272, 6656
1590197116153, 70877, 3152, -4288, 6576
1590197116182, 70907, 3024, -4192, 6272
1590197116213, 70937, 3392, -4128, 5056
1590197116243, 70967, 2800, -3264, 6528
1590197116273, 70997, 3808, -3216, 5600
1590197116302, 71027, 4352, 32, 5936
1590197116333, 71057, 4544, 5248, 8416
1590197116363, 71087, 7952, 9120, 11888
1590197116393, 71117, 7296, 12464, 19856
1590197116422, 71147, -1904, 22064, 28176
1590197116453, 71177, -12864, 15232, 28784
1590197116483, 71207, -22752, 6096, 32640
1590197116513, 71237, -32576, -14880, 28048
1590197116543, 71267, -32624, -32576, 5456
1590197116573, 71297, -24624, -32624, -17280
1590197116602, 71327, -7552, -23728, -20464
1590197116632, 71357, -2000, -14464, -13792
1590197116662, 71387, 528, -8912, -4496
1590197116692, 71417, 2432, -7232, 2576
1590197116723, 71447, 4912, -7120, 6032
1590197116753, 71477, 5696, -6208, 5392
1590197116783, 71507, 5520, -4256, 3584
1590197116813, 71537, 5296, -3088, 3536
1590197116843, 71567, 4944, -2784, 3584
1590197116873, 71597, 5264, -3712, 2816
1590197116902, 71627, 5728, -4016, 2016
1590197116933, 71657, 5936, -3952, 2160
1590197116962, 71687, 5872, -4000, 3056
1590197116993, 71717, 5776, -4192, 3280
1590197117023, 71747, 5856, -4448, 3104
1590197117052, 71777, 6032, -4416, 3184
1590197117083, 71807, 5840, -4288, 3664
1590197117113, 71837, 5920, -4256, 3872
1590197117143, 71867, 5776, -4240, 4352
1590197117173, 71897, 5520, -4016, 4496
1590197117203, 71927, 5264, -3312, 4448
