Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197303862, 258587, 5152, -1104, 6016
1590197303892, 258617, 5120, -1136, 6160
1590197303921, 258647, 5120, -1232, 6208
1590197303952, 258677, 5136, -1248, 6048
1590197303982, 258707, 5168, -1296, 6064
1590197304012, 258737, 5120, -1200, 6048
1590197304043, 258767, 5120, -1296, 5984
1590197304072, 258797, 5088, -1312, 6032
1590197304101, 258827, 5152, -1168, 6096
1590197304132, 258857, 5104, -1040, 5968
1590197304162, 258887, 5152, -784, 5984
1590197304192, 258917, 4976, -608, 5776
1590197304222, 258947, 3696, -2896, 5424
1590197304252, 258977, 496, -12672, 3232
1590197304282, 259007, -352, -27856, -2384
1590197304312, 259037, 160, -30880, -1968
1590197304342, 259067, -9776, -12208, 9040
1590197304372, 259097, -14144, 11888, 16864
1590197304402, 259127, -5344, 24400, 16336
1590197304431, 259157, -4944, 32624, 18864
1590197304462, 259187, -1168, 23696, 12064
1590197304492, 259217, 2784, 10800, 10896
1590197304522, 259247, 3904, 2256, 16944
1590197304552, 259277, 2336, -6512, 18992
1590197304582, 259307, 112, -18816, 15024
1590197304612, 259337, -2400, -21040, 6896
1590197304642, 259367, -6928, -16544, 3600
1590197304672, 259397, -8688, -13808, 2368
1590197304701, 259427, -9872, -11072, 496
1590197304731, 259457, -9168, -9648, -1488
1590197304762, 259487, -10112, -9200, 784
1590197304791, 259517, -8736, -9776, 10288
1590197304822, 259547, -4976, -7040, 18544
1590197304851, 259577, 16, 944, 21056
1590197304882, 259607, 3648, 10544, 24480
1590197304912, 259637, 4464, 11712, 22112
1590197304941, 259667, 2064, 6912, 13664
1590197304973, 259697, -1600, -1152, 7952
1590197305001, 259727, -3136, -8720, 5696
1590197305032, 259757, -2592, -10160, 6064
1590197305062, 259787, -2544, -7264, 6352
1590197305092, 259817, -1744, -5056, 6976
1590197305121, 259847, -704, -4608, 7536
1590197305152, 259877, 176, -3888, 7616
