Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197194123, 148847, 2768, 5936, -4880
1590197194153, 148877, 2832, 5728, -4752
1590197194183, 148907, 2944, 5984, -4656
1590197194213, 148937, 2960, 5936, -4688
1590197194243, 148967, 2992, 5792, -4672
1590197194273, 148997, 3040, 5872, -4576
1590197194303, 149027, 2928, 5808, -4480
1590197194334, 149057, 2960, 5760, -4544
1590197194363, 149087, 2960, 5952, -4736
1590197194393, 149117, 2928, 5904, -4528
1590197194424, 149147, 2912, 6032, -4352
1590197194453, 149177, 3008, 5984, -4480
1590197194483, 149207, 3136, 6368, -4736
1590197194513, 149237, 3344, 6816, -5328
1590197194543, 149267, 2976, 7040, -6176
1590197194574, 149297, 1904, 7424, -5696
1590197194603, 149327, -448, 8272, -3808
1590197194634, 149357, -4704, 10000, -928
1590197194664, 149387, -9936, 11600, 5072
1590197194694, 149417, -14128, 15728, 8224
1590197194723, 149447, -17216, 20224, 8640
1590197194753, 149477, -22384, 19632, 14464
1590197194784, 149507, -28448, 12480, 17552
1590197194814, 149537, -32624, -9232, 17184
1590197194843, 149567, -32624, -32512, 1552
1590197194874, 149597, -18512, -32624, 9360
1590197194903, 149627, -4128, -31488, 10080
1590197194933, 149657, 2432, -17152, 2400
1590197194963, 149687, 3472, -7296, -928
1590197194993, 149717, 1280, -9552, -384
1590197195024, 149747, 3328, -11744, 1600
1590197195054, 149777, 2480, -11632, 2896
1590197195083, 149807, 1904, -10448, 4320
1590197195113, 149837, 1888, -9728, 4672
1590197195143, 149867, 1664, -8384, 3856
1590197195173, 149897, 1856, -7792, 2176
1590197195203, 149927, 2064, -6832, 3072
1590197195233, 149957, 2048, -6864, 3728
1590197195263, 149987, 1552, -6464, 3920
