Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197227062, 181787, 5696, -3024, 4992
1590197227093, 181817, 5680, -2832, 4912
1590197227122, 181847, 5616, -2672, 4912
1590197227153, 181877, 5568, -2624, 4864
1590197227183, 181907, 5648, -2544, 4832
1590197227213, 181937, 5632, -2544, 4864
1590197227243, 181967, 5632, -2576, 4944
1590197227273, 181997, 5744, -2624, 4752
1590197227303, 182027, 5712, -2496, 4672
1590197227333, 182057, 5744, -2336, 4432
1590197227363, 182087, 5584, -1872, 4368
1590197227393, 182117, 5632, -352, 3856
1590197227423, 182147, 5840, 2512, 4256
1590197227453, 182177, 6896, 5344, 5968
1590197227483, 182207, 9856, 4512, 10832
1590197227513, 182237, 13312, 1104, 14320
1590197227543, 182267, 15472, -8032, 16400
1590197227573, 182297, 13408, -20080, 12528
1590197227604, 182327, 5328, -22640, 7248
1590197227634, 182357, -4672, -24480, -2192
1590197227664, 182387, -3760, -25936, -6864
1590197227693, 182417, -5760, -19792, -5472
1590197227723, 182447, -11248, -8144, -688
1590197227753, 182477, -13264, -4000, 1280
1590197227783, 182507, -15360, 2528, 3920
1590197227813, 182537, -18176, 8400, 4160
1590197227843, 182567, -15216, 7936, 5056
1590197227873, 182597, -10896, 7744, 2928
1590197227903, 182627, -8080, 10512, 6288
1590197227934, 182657, -5504, 11536, 19648
1590197227963, 182687, -1008, 528, 32512
1590197227993, 182717, 1392, -12544, 32640
1590197228024, 182747, 11680, -20512, 32640
1590197228053, 182777, 11040, -24048, 19824
1590197228083, 182807, 8608, -29120, 3696
1590197228113, 182837, 5840, -22672, -2624
1590197228143, 182867, 2336, -13968, -4336
1590197228172, 182897, 816, -8848, -5024
1590197228203, 182927, 592, -6624, -3952
1590197228233, 182957, 880, -5856, -1072
1590197228263, 182987, 1872, -4928, 960
