Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197309742, 264467, 6192, -1152, 5216
1590197309771, 264497, 6144, -1136, 5296
1590197309802, 264527, 6160, -1264, 5264
1590197309832, 264557, 6144, -1264, 5120
1590197309862, 264587, 6128, -1328, 4976
1590197309892, 264617, 6112, -1392, 4976
1590197309921, 264647, 6112, -1328, 5136
1590197309952, 264677, 6080, -1216, 5168
1590197309981, 264707, 6080, -1152, 5200
1590197310011, 264737, 6128, -960, 5200
1590197310042, 264767, 6160, -976, 5168
1590197310072, 264797, 6256, -1008, 5152
1590197310101, 264827, 6464, -752, 5104
1590197310131, 264857, 7136, -144, 5584
1590197310161, 264887, 7328, 1232, 5904
1590197310192, 264917, 6400, 1840, 5424
1590197310222, 264947, 4160, -3600, 2992
1590197310252, 264977, 1872, -17200, -496
1590197310281, 265007, 3488, -31680, -3376
1590197310312, 265037, 800, -26224, 304
1590197310342, 265067, -7232, -10752, 9424
1590197310372, 265097, -8352, 1712, 12208
1590197310402, 265127, -7696, 18112, 14864
1590197310432, 265157, -9776, 32624, 12768
1590197310462, 265187, -3616, 31584, 5296
1590197310492, 265217, -80, 20608, 9760
1590197310522, 265247, 2320, 12176, 17456
1590197310552, 265277, -464, -2864, 24000
1590197310583, 265307, -2912, -26528, 16752
1590197310612, 265337, -1968, -32624, 2976
1590197310643, 265367, -4544, -23136, 2448
1590197310673, 265397, -8496, -17856, 800
1590197310702, 265427, -9456, -14288, 1248
1590197310732, 265457, -8512, -10896, 3936
1590197310761, 265487, -7040, -8784, 8480
1590197310791, 265517, -6000, -4512, 14016
1590197310821, 265547, 608, 3072, 16720
1590197310852, 265577, 2432, 12192, 26320
1590197310882, 265607, 3600, 15280, 22896
1590197310912, 265637, 2192, 8320, 11824
1590197310941, 265667, 320, -2656, 6448
1590197310972, 265697, 32, -10256, 5440
1590197311002, 265727, 624, -10448, 6208
1590197311032, 265757, 576, -7696, 7776
1590197311061, 265787, 752, -4176, 7952
