Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197222293, 177017, 5808, -2416, 4784
1590197222323, 177047, 5808, -2384, 4960
1590197222352, 177077, 5856, -2496, 5088
1590197222383, 177107, 5872, -2448, 4992
1590197222412, 177137, 5888, -2464, 4976
1590197222443, 177167, 5872, -2544, 4928
1590197222473, 177197, 5872, -2512, 4992
1590197222504, 177227, 5856, -2560, 4960
1590197222533, 177257, 5824, -2544, 4928
1590197222563, 177287, 5744, -2544, 4800
1590197222592, 177317, 5696, -2592, 4400
1590197222623, 177347, 5584, -2256, 4080
1590197222653, 177377, 5664, -1264, 3088
1590197222683, 177407, 6944, 1040, 1264
1590197222713, 177437, 9792, 8320, 2560
1590197222744, 177467, 12544, 13744, 11792
1590197222773, 177497, 16288, 3552, 20736
1590197222803, 177527, 13680, -12928, 26064
1590197222832, 177557, 5040, -26864, 16992
1590197222863, 177587, -6912, -28000, 2144
1590197222893, 177617, -8864, -29232, -8704
1590197222923, 177647, -12864, -21072, -11408
1590197222953, 177677, -18064, -5632, -9920
1590197222983, 177707, -18720, 3424, -3792
1590197223012, 177737, -17088, 3744, 2512
1590197223043, 177767, -15568, 3120, 7760
1590197223073, 177797, -12688, 5696, 10688
1590197223102, 177827, -8928, 9072, 11136
1590197223133, 177857, -4032, 9056, 12080
1590197223163, 177887, 800, 5872, 16656
1590197223193, 177917, 5408, -2784, 23632
1590197223223, 177947, 9856, -9392, 29200
1590197223253, 177977, 11968, -11056, 26448
1590197223282, 178007, 10720, -13888, 17216
1590197223313, 178037, 8688, -18944, 6992
1590197223343, 178067, 8320, -16944, 1840
1590197223373, 178097, 5424, -11056, 144
1590197223404, 178127, 3648, -9296, -1008
1590197223433, 178157, 3264, -7200, -624
1590197223462, 178187, 2592, -6288, 448
1590197223493, 178217, 2528, -5936, 2160
1590197223524, 178247, 2800, -4832, 2864
