Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197139133, 93857, 4080, -944, 6880
1590197139163, 93887, 4128, -912, 6896
1590197139192, 93917, 4080, -880, 7008
1590197139222, 93947, 4144, -1088, 7040
1590197139253, 93977, 4240, -1088, 6864
1590197139282, 94007, 4256, -1232, 6928
1590197139313, 94037, 4224, -1024, 6944
1590197139342, 94067, 4192, -992, 6960
1590197139372, 94097, 4208, -1040, 6880
1590197139402, 94127, 4144, -944, 6800
1590197139432, 94157, 4240, -1600, 6560
1590197139462, 94187, 4368, -2832, 6192
1590197139493, 94217, 3312, -6640, 5760
1590197139522, 94247, 1184, -14304, 3856
1590197139552, 94277, 224, -19568, 240
1590197139583, 94307, -1584, -17936, 1696
1590197139613, 94337, -4896, -12656, 7440
1590197139643, 94367, -5888, -5952, 13568
1590197139672, 94397, -2176, -5760, 13216
1590197139703, 94427, 1024, -3744, 11936
1590197139732, 94457, 1680, 1840, 13888
1590197139762, 94487, 4064, 6880, 15008
1590197139792, 94517, 8832, 8176, 11072
1590197139823, 94547, 10192, 11296, 10944
1590197139852, 94577, 5488, 16416, 18832
1590197139883, 94607, -1008, 17808, 25360
1590197139913, 94637, -8464, 12848, 29808
1590197139944, 94667, -18384, 11968, 32640
1590197139973, 94697, -32352, -10032, 32640
1590197140002, 94727, -32624, -32576, 15328
1590197140033, 94757, -25232, -32624, -15168
1590197140062, 94787, -9648, -22816, -14592
1590197140092, 94817, -2704, -18784, -15984
1590197140123, 94847, 1440, -12656, -7760
1590197140153, 94877, 3312, -8432, -944
1590197140183, 94907, 5728, -6608, 3808
1590197140213, 94937, 6832, -6000, 5232
1590197140242, 94967, 6736, -4912, 4208
1590197140272, 94997, 6432, -4176, 3424
1590197140303, 95027, 6336, -3728, 3248
1590197140332, 95057, 6352, -2688, 2960
1590197140362, 95087, 6112, -2448, 3088
1590197140392, 95117, 6176, -2688, 2880
1590197140423, 95147, 6192, -3184, 3152
1590197140453, 95177, 6096, -3328, 3904
1590197140482, 95207, 6032, -3328, 4400
1590197140513, 95237, 5984, -3824, 4832
1590197140543, 95267, 6160, -3856, 4768
1590197140573, 95297, 6096, -3664, 4624
1590197140602, 95327, 5888, -3312, 4816
1590197140633, 95357, 5792, -3104, 4912
1590197140663, 95387, 5680, -3120, 5056
1590197140693, 95417, 5664, -3440, 5536
1590197140723, 95447, 5344, -2752, 5296
1590197140752, 95477, 4864, -1888, 5936
