Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197121282, 76007, 3824, -3552, 6128
1590197121313, 76037, 3472, -4768, 5856
1590197121343, 76067, 3200, -6000, 5520
1590197121373, 76097, 2736, -6624, 4944
1590197121402, 76127, 2240, -6752, 4592
1590197121433, 76157, 2032, -6864, 4880
1590197121462, 76187, 2032, -6832, 5856
1590197121492, 76217, 2128, -5792, 7040
1590197121523, 76247, 2384, -4880, 7824
1590197121553, 76277, 3424, -4560, 7184
1590197121582, 76307, 4656, -4256, 5552
1590197121613, 76337, 5952, -4240, 4528
1590197121642, 76367, 6960, -1344, 3888
1590197121673, 76397, 8976, 1072, 2912
1590197121702, 76427, 12560, 3216, 1344
1590197121732, 76457, 13568, 4576, -352
1590197121762, 76487, 9456, 4224, 640
1590197121792, 76517, -4064, 9488, 21056
1590197121822, 76547, -11552, 10144, 32640
1590197121853, 76577, -20976, 4992, 32640
1590197121882, 76607, -32528, -4672, 32640
1590197121913, 76637, -32624, -32560, 11952
1590197121943, 76667, -32624, -32624, -32160
1590197121973, 76697, -6000, -22944, -27344
1590197122003, 76727, 400, -17632, -17888
1590197122033, 76757, 2592, -12832, -6112
1590197122063, 76787, 4080, -7904, 2688
1590197122093, 76817, 5168, -5904, 7120
1590197122122, 76847, 5952, -5472, 6256
1590197122153, 76877, 5712, -4896, 3072
1590197122182, 76907, 5216, -4384, 1584
1590197122213, 76937, 5040, -4256, 800
1590197122242, 76967, 5392, -4288, 1120
1590197122273, 76997, 5680, -4208, 1408
1590197122302, 77027, 6112, -4096, 1744
1590197122332, 77057, 6304, -3952, 2016
1590197122362, 77087, 6192, -3968, 2960
1590197122393, 77117, 6256, -4304, 2992
1590197122423, 77147, 6240, -4640, 2672
1590197122453, 77177, 6112, -4480, 2560
1590197122483, 77207, 5856, -4400, 3248
1590197122513, 77237, 5664, -4240, 3680
1590197122543, 77267, 5776, -4208, 3696
1590197122573, 77297, 5680, -4048, 4080
1590197122603, 77327, 5456, -3792, 4400
1590197122632, 77357, 5312, -3776, 4928
1590197122662, 77387, 5344, -3760, 5376
1590197122692, 77417, 5072, -3536, 5776
1590197122722, 77447, 4768, -3200, 5776
