Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197088673, 43397, -3360, -928, 7280
1590197088703, 43427, -3392, -832, 7328
1590197088733, 43457, -3440, -768, 7376
1590197088763, 43487, -3360, -864, 7376
1590197088793, 43517, -3328, -880, 7408
1590197088823, 43547, -3376, -912, 7472
1590197088853, 43577, -3392, -832, 7392
1590197088883, 43607, -3440, -928, 7376
1590197088913, 43637, -3360, -896, 7248
1590197088944, 43667, -3584, -1008, 7120
1590197088973, 43697, -3952, -1008, 6928
1590197089003, 43727, -4496, -384, 7168
1590197089033, 43757, -5872, 1152, 7760
1590197089062, 43787, -6928, 5008, 8272
1590197089093, 43817, -6240, 8240, 14336
1590197089123, 43847, -4272, 8736, 23248
1590197089153, 43877, -1088, 944, 25072
1590197089184, 43907, -192, -8496, 20336
1590197089213, 43937, 4288, -11744, 8288
1590197089243, 43967, 8992, -9440, -1504
1590197089273, 43997, 12064, -8336, -7152
1590197089304, 44027, 14432, -11104, -10480
1590197089333, 44057, 16176, -12256, -12144
1590197089364, 44087, 17616, -10624, -13200
1590197089393, 44117, 18288, -11200, -13776
1590197089423, 44147, 17600, -13296, -3104
1590197089453, 44177, 10080, -11264, 20832
1590197089482, 44207, -3104, 8240, 32624
1590197089512, 44237, -7328, 11696, 32640
1590197089543, 44267, -10608, 9104, 22128
1590197089573, 44297, -5904, 3200, 2560
1590197089603, 44327, -4736, -2480, 400
1590197089633, 44357, -3952, -4560, 672
